state,date,total_case,daily_cases
Alabama,1/22/20,0,0
Alabama,1/23/20,0,0
Alabama,1/24/20,0,0
Alabama,1/25/20,0,0
Alabama,1/26/20,0,0
Alabama,1/27/20,0,0
Alabama,1/28/20,0,0
Alabama,1/29/20,0,0
Alabama,1/30/20,0,0
Alabama,1/31/20,0,0
Alabama,2/1/20,0,0
Alabama,2/2/20,0,0
Alabama,2/3/20,0,0
Alabama,2/4/20,0,0
Alabama,2/5/20,0,0
Alabama,2/6/20,0,0
Alabama,2/7/20,0,0
Alabama,2/8/20,0,0
Alabama,2/9/20,0,0
Alabama,2/10/20,0,0
Alabama,2/11/20,0,0
Alabama,2/12/20,0,0
Alabama,2/13/20,0,0
Alabama,2/14/20,0,0
Alabama,2/15/20,0,0
Alabama,2/16/20,0,0
Alabama,2/17/20,0,0
Alabama,2/18/20,0,0
Alabama,2/19/20,0,0
Alabama,2/20/20,0,0
Alabama,2/21/20,0,0
Alabama,2/22/20,0,0
Alabama,2/23/20,0,0
Alabama,2/24/20,0,0
Alabama,2/25/20,0,0
Alabama,2/26/20,0,0
Alabama,2/27/20,0,0
Alabama,2/28/20,0,0
Alabama,2/29/20,0,0
Alabama,3/1/20,0,0
Alabama,3/2/20,0,0
Alabama,3/3/20,0,0
Alabama,3/4/20,0,0
Alabama,3/5/20,0,0
Alabama,3/6/20,0,0
Alabama,3/7/20,0,0
Alabama,3/8/20,0,0
Alabama,3/9/20,0,0
Alabama,3/10/20,0,0
Alabama,3/11/20,3,3
Alabama,3/12/20,4,1
Alabama,3/13/20,8,4
Alabama,3/14/20,15,7
Alabama,3/15/20,28,13
Alabama,3/16/20,36,8
Alabama,3/17/20,51,15
Alabama,3/18/20,61,10
Alabama,3/19/20,88,27
Alabama,3/20/20,115,27
Alabama,3/21/20,149,34
Alabama,3/22/20,180,31
Alabama,3/23/20,224,44
Alabama,3/24/20,298,74
Alabama,3/25/20,472,174
Alabama,3/26/20,574,102
Alabama,3/27/20,684,110
Alabama,3/28/20,801,117
Alabama,3/29/20,880,79
Alabama,3/30/20,1001,121
Alabama,3/31/20,1063,62
Alabama,4/1/20,1175,112
Alabama,4/2/20,1371,196
Alabama,4/3/20,1606,235
Alabama,4/4/20,1727,121
Alabama,4/5/20,1905,178
Alabama,4/6/20,2079,174
Alabama,4/7/20,2308,229
Alabama,4/8/20,2614,306
Alabama,4/9/20,2954,340
Alabama,4/10/20,3112,158
Alabama,4/11/20,3346,234
Alabama,4/12/20,3667,321
Alabama,4/13/20,3870,203
Alabama,4/14/20,4041,171
Alabama,4/15/20,4307,266
Alabama,4/16/20,4465,158
Alabama,4/17/20,4557,92
Alabama,4/18/20,4788,231
Alabama,4/19/20,4978,190
Alabama,4/20/20,5163,185
Alabama,4/21/20,5404,241
Alabama,4/22/20,5692,288
Alabama,4/23/20,5899,207
Alabama,4/24/20,6092,193
Alabama,4/25/20,6274,182
Alabama,4/26/20,6475,201
Alabama,4/27/20,6621,146
Alabama,4/28/20,6820,199
Alabama,4/29/20,6979,159
Alabama,4/30/20,7187,208
Alabama,5/1/20,7440,253
Alabama,5/2/20,7700,260
Alabama,5/3/20,7977,277
Alabama,5/4/20,8203,226
Alabama,5/5/20,8520,317
Alabama,5/6/20,8769,249
Alabama,5/7/20,9115,346
Alabama,5/8/20,9437,322
Alabama,5/9/20,9720,283
Alabama,5/10/20,9982,262
Alabama,5/11/20,10262,280
Alabama,5/12/20,10566,304
Alabama,5/13/20,10822,256
Alabama,5/14/20,11161,339
Alabama,5/15/20,11494,333
Alabama,5/16/20,11828,334
Alabama,5/17/20,12137,309
Alabama,5/18/20,12438,301
Alabama,5/19/20,12825,387
Alabama,5/20/20,13186,361
Alabama,5/21/20,13590,404
Alabama,5/22/20,13954,364
Alabama,5/23/20,14328,374
Alabama,5/24/20,14676,348
Alabama,5/25/20,15309,633
Alabama,5/26/20,15899,590
Alabama,5/27/20,16263,364
Alabama,5/28/20,16749,486
Alabama,5/29/20,17262,513
Alabama,5/30/20,17689,427
Alabama,5/31/20,18200,511
Alabama,6/1/20,18525,325
Alabama,6/2/20,18734,209
Alabama,6/3/20,18954,220
Alabama,6/4/20,19262,308
Alabama,6/5/20,19910,648
